Alpha,Reliance,TCS,HDFCBank,Infosys,ICICIBank,HindustanUL,ITC,SBI,BajajFin,Airtel,KotakBank,AxisBank,AsianPaints,Maruti,Wipro,HCLTech,LT,MahindraM,Titan,Nestle,UltraTech,PowerGrid,NTPC,SunPharma,DrReddy,AdaniPorts,TataMotors,TataSteel,JSWSteel,DivisLabs
0.5,1.8282447029745733e-06,8.46783304225889e-07,2.2110069688751413e-07,8.355387140038739e-07,2.6587805644346876e-06,9.570174944983934e-07,5.244817804379117e-07,0.45895586124343957,0.2865534578500267,0.037903798529405355,2.1544083474423627e-07,0.22316327545642148,0.17152242684512223,0.182118948651262,7.322461169900638e-07,2.1133528865266495e-06,0.031677704687350386,7.11204131099396e-05,1.0062450260149804,7.350597556996497e-07,2.017458172902379e-06,3.6851296449464116e-06,0.055339606601653074,0.6019728216131791,2.2266321689030475e-06,0.2879560925776803,3.2139545814757876e-07,0.2707795895923177,0.32515061231362724,0.575446348522768
0.55,3.477849680882013e-07,1.4651834074101095e-07,3.26828705667824e-08,1.4309664534590092e-07,5.090935605054246e-07,1.689475287909608e-07,8.907234094544315e-08,0.3549929779535635,0.23083822666038087,0.05068450824269791,2.9573151759967805e-08,0.18641130441368364,0.15100345179154248,0.15776293841494712,1.247345448107001e-07,3.250292764661877e-07,0.053343341255394826,0.02161475024570305,0.763747176714557,1.0996083529665342e-07,3.8313086224698027e-07,4.535665210925197e-07,0.06706444536060782,0.4573412361693018,4.235651857525458e-07,0.2381029544073552,4.80616413650576e-08,0.22027985386337776,0.26519555015333796,0.44293617530631646
0.6000000000000001,8.797499756804684e-08,3.483908958136352e-08,8.59577357768271e-09,3.370485387447438e-08,1.3107836172420538e-07,4.030154877705256e-08,2.0956797920507174e-08,0.2645314473499561,0.17778452844628712,0.050957057182026776,8.427385145910423e-09,0.14800602468462432,0.12425117724206533,0.12847970460391642,2.9593059512824168e-08,8.023063350529509e-08,0.058318004166895726,0.03303378737173953,0.5588200755575704,2.946225509987012e-08,1.0427853424774977e-07,7.453442600003467e-08,0.06542714716777208,0.33464078590543817,1.0368713013662136e-07,0.18723317242229717,1.2730139895903683e-08,0.17111133853271956,0.20635143983876506,0.3276176264485187
0.65,1.7286119648893754e-07,5.5728684413409426e-08,1.3870487507527196e-08,5.328506248353949e-08,3.330578105306196e-07,6.453865978118791e-08,3.201052904796429e-08,0.18394652107409085,0.12705794159967854,0.043429842826292295,1.3686654497116686e-08,0.10855373338811494,0.0935037330892762,0.09602724719991675,4.6589786654517407e-08,2.1395993370689284e-07,0.05186556185182609,0.033436723749802916,0.38186380949654314,5.3174366763456426e-08,3.00102570465912e-07,4.3557479757478185e-07,0.05496843481758143,0.22853943991735137,2.2592193855033985e-07,0.13606615123562654,2.0965904113398415e-08,0.12318891061569347,0.14872781491952572,0.22579135350643673
0.7000000000000001,5.561625987533369e-07,1.5537177613367192e-07,3.920627704283209e-08,1.469054221490576e-07,1.350063031680078e-06,1.811412041689786e-07,8.715851151642124e-08,0.11058200217480023,0.0781692992153855,0.030216065351811535,3.856085405309453e-08,0.06828421775828077,0.0599545523694039,0.06128583071348858,1.2869080426190616e-07,7.160847375871005e-07,0.037146144633462226,0.025612472656996472,0.22581409783025563,1.548575260070515e-07,1.6144894537947938e-06,2.257447424831883e-06,0.0380011522347434,0.13500297381096604,7.306102517670934e-07,0.08487021297458021,6.023409317844278e-08,0.07626830262900366,0.09215391956738317,0.13443517426170784
0.75,9.768608573424058e-07,2.239489229842416e-07,5.346212771282919e-08,2.0930778282578625e-07,3.3394116591435295e-06,2.6646161921728424e-07,1.239654483389792e-07,0.04258686298618195,0.030706164667022407,0.013006347414430216,5.1950689124922063e-08,0.027343310702093653,0.024363223646035517,0.02482265990387403,1.837266163590195e-07,1.2239463946188567e-06,0.01633951193729668,0.01174315500693558,0.08563018661733819,2.2251509792341588e-07,8.674539930899654e-06,4.256851137244738e-06,0.016313253740389378,0.05112210139151067,1.2768477606193516e-06,0.033724656356792546,8.398230803604969e-08,0.03012369061510041,0.03641940529229092,0.05126179637041282
0.8,8.41633754969446e-08,1.8210486964739963e-08,1.8491344770987605e-09,1.6888748930420038e-08,2.0745653479546268e-07,2.406997874321155e-08,1.1073741219443061e-08,2.315287443839278e-06,1.6972624371329868e-06,8.043848140115772e-07,1.5080937986092855e-09,1.5417652196824588e-06,1.3919260426586346e-06,1.4127860807535903e-06,1.5048744173999393e-08,7.397606872665888e-08,9.952115619937383e-07,7.419413872707526e-07,4.580687152349096e-06,1.057195738879858e-08,2.447791163949239e-07,2.1746248796467583e-07,9.975790086000139e-07,2.74121233873562e-06,1.0142194912577204e-07,1.880953419600135e-06,3.3746960571455488e-09,1.6749662150602077e-06,2.0232093963643798e-06,2.761508415848911e-06
0.8500000000000001,3.3951257451954476e-08,9.241934987894751e-09,9.068052820714408e-10,8.520680480777404e-09,6.122685388381303e-08,1.2384105026048725e-08,5.817848399975789e-09,2.984561752822263e-07,2.2196541059502928e-07,1.2064496860221281e-07,7.073072034808271e-10,2.0586075392992798e-07,1.882247061211648e-07,1.901461683750818e-07,7.737542409622459e-09,2.522887426196062e-08,1.4199977333603523e-07,1.0963194810579865e-07,5.799083196185981e-07,4.912269686822844e-09,6.025037479648475e-08,5.883584125651806e-08,1.4685134755866586e-07,3.496752707150716e-07,3.6952084987604344e-08,2.4761326848817497e-07,1.7877942502144211e-09,2.2055182500360992e-07,2.655395037568304e-07,3.5296716108430163e-07
0.9,4.6200493320984964e-07,1.4230279448904542e-07,1.4251730465907158e-08,1.3063644842710656e-07,7.591009936982409e-07,1.9218418217914333e-07,9.210645447564406e-08,2.6783356850764934e-06,2.0196341357880773e-06,1.2032536843585076e-06,1.0749691182369838e-08,1.9044633867439693e-06,1.7588562592133278e-06,1.7708242947542605e-06,1.203824986000291e-07,3.224260077432852e-07,1.3814841589508901e-06,1.0911943454142588e-06,5.117067189764515e-06,7.149074165165188e-08,7.208063826951735e-07,7.064443950214161e-07,1.450941568888066e-06,3.102591260074156e-06,4.821488447247056e-07,2.2661695058579176e-06,2.959134432922738e-08,2.0181007331621956e-06,2.422406013126075e-06,3.1388925281133526e-06
0.9500000000000001,1.275312007356784e-07,4.27665492340276e-08,4.475540309989871e-09,3.913621056471867e-08,1.9921166033467596e-07,5.8058317660612286e-08,2.8403589598701233e-08,5.734504700293491e-07,4.3804413622291566e-07,2.793785393708849e-07,3.272169939124595e-09,4.1898116495202633e-07,3.9016123872763935e-07,3.9175237933310386e-07,3.650699839070429e-08,8.575634977125648e-08,3.1628421955707443e-07,2.53960251775392e-07,1.07793761467656e-06,2.0587929041703835e-08,1.8642118731572975e-07,1.8165947382472665e-07,3.3496260261785e-07,6.570201281582786e-07,1.2960948860137182e-07,4.940034500957584e-07,9.59735953733931e-09,4.3984789348483164e-07,5.264360758712761e-07,6.660038185360022e-07
1.0,5.5736367684762794e-08,1.9924300867087455e-08,2.204269854133205e-09,1.819000606379497e-08,8.423734648135914e-08,2.7144993180037326e-08,1.3554359610917455e-08,2.094042109396544e-07,1.6184752159378438e-07,1.0888199267104244e-07,1.5642917831101789e-09,1.5675438179015988e-07,1.4698094936523032e-07,1.472416651157231e-07,1.714195057531232e-08,3.6546049107499784e-08,1.221883931052428e-07,9.933889246617567e-08,3.8746047319982764e-07,9.266654923993456e-09,7.824426684306054e-08,7.56949077059363e-08,1.3002767352211938e-07,2.3754521023412186e-07,5.557716549184814e-08,1.8330526671743203e-07,4.803247930904008e-09,1.6321275882632748e-07,1.9480234956275572e-07,2.411241660733605e-07
